start,end,xx,assetReward,assetHold,source_ts_ms,stakedAmount,dailyRewardPerUnit,__deleted
2023-02-23,,452,FTM,FTM,1689946155000,27831520.07000000000000000000,0.00004931506849315068,false
2023-07-21,,979,BNB,BNB,1689928414000,4600.00000000000000000000,0.00005128767123287670,false
2023-02-15,,426,CELR,CELR,1689945086000,58570650.63000000000000000000,0.00012328767123287671,false
2023-07-17,,934,APT,APT,1689939274000,34014.79000000000000000000,0.00016761643835616438,false
2023-03-10,,475,EGLD,EGLD,1689929689000,33870.11000000000000000000,0.00019178082191780822,false
2023-05-05,,633,TOMO,TOMO,1689948480000,707055.00000000000000000000,0.00024383561643835616,false
2023-06-13,,788,ONE,ONE,1689939663000,18600000.00000000000000000000,0.00024657534246575342,false
2023-06-01,,733,BAND,BAND,1689934154000,422225.35000000000000000000,0.00026375890410958904,false
2023-02-24,,457,STMX,STMX,1689930368000,233970514.34100000000000000000,0.00027397260273972603,false
2023-03-23,,491,POND,POND,1689948739000,79654267.00000000000000000000,0.00032876712328767123,false
2022-05-17,,191,LTO,LTO,1689938759000,16544751.37000000000000000000,0.00032876712328767123,false
2023-05-03,,618,INJ,INJ,1689943892000,298823.00000000000000000000,0.00043835616438356164,false
2022-06-06,,179,AXS,AXS,1689933391000,447578.70000000000000000000,0.00095890410958904110,false
2023-05-26,,698,REEF,REEF,1689942645000,303928222.28000000000000000000,0.00100520547945205479,false
2021-12-27,2023-01-13,98,ALGO,ALGO,1689939430000,21203050.81859500000000000000,0.00000191780821917808,false
2023-04-14,,538,PHA,PHA,1698624013000,38874349.07000000000000000000,0.00043835616438356164,false
2022-04-12,,147,ATOM,ATOM,1698696430000,743754.73107900000000000000,0.00059726027397260274,false
2023-04-13,,534,SAND,SAND,1698624013000,9338056.91020000000000000000,0.00008219178082191781,false
2023-10-09,,1237,1INCH,1INCH,1698624032000,500000.00000000000000000000,0.00008219178082191781,false
2023-10-09,,1238,1INCH,1INCH,1698624032000,300031.45800000000000000000,0.00008219178082191781,false
2023-09-18,,1161,1INCH,1INCH,1698624030000,150000.00000000000000000000,0.00008219178082191781,false
2023-07-21,,979,BNB,BNB,1689984078000,4600.00000000000000000000,0.00005128767123287671,false
2023-04-15,,541,ETH,ETH,1689811248000,124512.00000000000000000000,0.00010958904109589041,false
2023-04-15,,541,ETH,ETH,1689843383000,127712.00000000000000000000,0.00010958904109589041,false
2022-02-19,2022-11-29,110,MATIC,MATIC,1689856466000,19022149.22462889910530454000,0E-20,false
2023-07-17,,934,APT,APT,1689811270000,19999.70000000000000000000,0.00016761643835616438,false
2023-03-02,,464,MATIC,MATIC,1689856466000,19022149.22462889910530454000,0.00013013698630136986,false
2023-04-02,2023-04-05,510,MATIC,MATIC,1689856466000,19022149.22462889910530454000,0E-20,false
2021-06-09,,473,ZIL,ZIL,1690675213000,204793904.97279665193700000000,0.00035616438356164384,false
2023-05-02,,610,IMX,IMX,1690715643000,899280.41935000000000000000,0.00009041095890410960,false
2023-05-02,,611,IMX,IMX,1690715655000,117440.21190000000000000000,0.00009041095890410960,false
2023-05-02,,615,ROSE,ROSE,1690675217000,24793217.69000000000000000000,0.00010684931506849315,false
2023-05-02,,616,ROSE,ROSE,1690675217000,21711531.19000000000000000000,0.00010684931506849315,false
2023-06-22,,831,ROSE,ROSE,1690675224000,9635456.52000000000000000000,0.00010684931506849315,false
2023-04-29,,592,SKL,SKL,1690675217000,6500000.00000000000000000000,0.00013195068493150685,false
2023-06-07,,768,SKL,SKL,1690675222000,3500000.00000000000000000000,0.00013195068493150685,false
2023-05-05,,633,TOMO,TOMO,1690675218000,607055.00000000000000000000,0.00020000000000000000,false
2022-05-17,,191,LTO,LTO,1690675205000,18724446.33000000000000000000,0.00023972602739726027,false
2023-02-24,,456,STMX,STMX,1690675213000,31189125.18000000000000000000,0.00024657534246575342,false
2023-02-24,,457,STMX,STMX,1690675213000,273970514.34000000000000000000,0.00024657534246575342,false
2022-04-19,,156,GRT,GRT,1690675204000,27178766.10000000000000000000,0.00030136986301369863,false
2023-05-24,,686,AUDIO,AUDIO,1690675219000,533014.00000000000000000000,0.00050849315068493151,false
2023-04-24,,577,AUDIO,AUDIO,1690675216000,2359805.00000000000000000000,0.00050849315068493151,false
2023-05-23,,684,POLYX,POLYX,1690675219000,1104415.86000000000000000000,0.00057534246575342466,false
2021-12-27,2023-01-13,98,ALGO,ALGO,1690732049000,20603050.81859500000000000000,0.00000191780821917808,false
2023-03-02,,464,MATIC,MATIC,1690675213000,19613728.80922172423250171200,0.00013205479452054795,false
2023-04-29,,596,NEAR,NEAR,1690675217000,959685.45125593485615890694,0.00024657534246575342,false
2023-04-13,,534,SAND,SAND,1690790753000,2037340.81000000000000000000,0.00014849315068493151,false
2023-04-13,,534,SAND,SAND,1690791081000,2037340.81000000000000000000,0.00012876712328767100,false
2023-04-25,,578,UTK,UTK,1690792581000,11669152.71000000000000000000,0.00068493150684931507,false
2023-05-02,,610,IMX,IMX,1690761617000,899280.41935000000000000000,0.00009041095890410959,false
2023-05-02,,611,IMX,IMX,1690761617000,117440.21190000000000000000,0.00009041095890410959,false
2023-05-02,,611,IMX,IMX,1690761617000,117440.21190000000000000000,0.00009041095890410959,false
2023-05-17,,660,SUI,SUI,1690796204000,1085440.00000000000000000000,0.00015260273972602740,false
2022-04-19,,158,LSK,LSK,1690793824000,249400.00000000000000000000,0.00021917808219178082,false
2022-04-19,,158,LSK,LSK,1690794136000,249400.00000000000000000000,0.00019726027397260300,false
